id,gloss
00414,about
00415,about
00416,about
00421,about
00592,accept
00593,accept
00594,accept
00597,accept
00599,accept
00600,accept
00623,accident
00624,accident
00625,accident
00626,accident
00627,accident
00628,accident
00629,accident
00631,accident
00632,accident
00633,accident
00634,accident
00961,add
00962,add
00963,add
00964,add
00965,add
00967,add
01206,adult
01207,adult
01208,adult
01209,adult
01214,adult
01383,africa
01384,africa
01385,africa
01386,africa
01387,africa
01388,africa
01391,africa
01418,after
01419,after
01420,after
01421,after
01422,after
01433,afternoon
01434,afternoon
01435,afternoon
01436,afternoon
01438,afternoon
01460,again
01461,again
01462,again
01463,again
01464,again
01466,again
01485,age
01486,age
01487,age
01489,age
01490,age
01552,ago
01553,ago
01554,ago
01556,ago
01557,ago
01558,ago
01560,ago
01561,ago
01724,airplane
01726,airplane
01727,airplane
01729,airplane
01730,airplane
01986,all
01987,all
01988,all
01991,all
01992,all
02045,allow
02046,allow
02048,allow
02049,allow
02103,alone
02104,alone
02105,alone
02106,alone
02108,alone
02109,alone
02110,alone
02159,already
02160,already
02161,already
02162,already
02163,already
02165,already
02166,already
02174,also
02175,also
02177,also
02178,also
02228,always
02229,always
02230,always
02231,always
02233,always
02349,america
02350,america
02351,america
02353,america
02474,analyze
02475,analyze
02476,analyze
02477,analyze
02478,analyze
02480,analyze
02518,and
02519,and
02521,and
02540,angel
02541,angel
02542,angel
02544,angel
02545,angel
02565,angry
02566,angry
02567,angry
02568,angry
02569,angry
02572,angry
02583,animal
02584,animal
02585,animal
02586,animal
02587,animal
02589,animal
02710,answer
02711,answer
02712,answer
02713,answer
02715,answer
02826,any
02828,any
02951,appear
02952,appear
02953,appear
02954,appear
02956,appear
02999,apple
03000,apple
03001,apple
03002,apple
03003,apple
03005,apple
03055,appointment
03056,appointment
03057,appointment
03058,appointment
03059,appointment
03060,appointment
03061,appointment
03062,appointment
03118,approve
03119,approve
03120,approve
03121,approve
03122,approve
03124,approve
03125,approve
03234,area
03235,area
03237,area
03238,area
03240,area
03267,argue
03268,argue
03270,argue
03272,argue
03273,argue
03274,argue
03277,argue
03278,argue
03337,arm
03338,arm
03339,arm
03342,arm
03361,army
03362,army
03364,army
03417,arrest
03418,arrest
03419,arrest
03420,arrest
03425,arrest
03435,arrive
03436,arrive
03437,arrive
03438,arrive
03439,arrive
03441,arrive
03478,art
03479,art
03480,art
03481,art
03484,art
03562,asia
03563,asia
03564,asia
03565,asia
03568,asia
03595,ask
03597,ask
03598,ask
03603,ask
03605,ask
03607,ask
03634,asl
03635,asl
03638,asl
04040,attitude
04041,attitude
04042,attitude
04044,attitude
04045,attitude
04062,attract
04063,attract
04064,attract
04072,attract
04073,attract
04168,aunt
04169,aunt
04170,aunt
04171,aunt
04173,aunt
04184,australia
04186,australia
04187,australia
04188,australia
04189,australia
04190,australia
04193,australia
04343,avoid
04344,avoid
04345,avoid
04347,avoid
04348,avoid
04424,awful
04425,awful
04426,awful
04427,awful
04429,awful
04430,awful
04437,awkward
04438,awkward
04439,awkward
04440,awkward
04441,awkward
04443,awkward
04505,baby
04506,baby
04507,baby
04508,baby
04509,baby
04511,baby
04592,back
04593,back
04600,back
04601,back
04616,backpack
04617,backpack
04618,backpack
04619,backpack
04620,backpack
04624,backpack
04679,bacon
04680,bacon
04681,bacon
04682,bacon
04684,bacon
04708,bad
04709,bad
04712,bad
04713,bad
04715,bad
04717,bad
04718,bad
04768,bake
04769,bake
04770,bake
04772,bake
04795,balance
04796,balance
04797,balance
04798,balance
04799,balance
04801,balance
04802,balance
04803,balance
04819,bald
04821,bald
04823,bald
04824,bald
04826,bald
04849,ball
04850,ball
04851,ball
04852,ball
04854,ball
04858,ball
04867,balloon
04868,balloon
04869,balloon
04870,balloon
04872,balloon
04873,balloon
04896,banana
04897,banana
04898,banana
04899,banana
04900,banana
