id,gloss
69241,book
07069,book
07068,book
07070,book
07074,book
12328,computer
12312,computer
12311,computer
12313,computer
12314,computer
12315,computer
12316,computer
12317,computer
12318,computer
12319,computer
12320,computer
12326,computer
12327,computer
35454,medicine
35455,medicine
35456,medicine
35458,medicine
35452,medicine
35453,medicine
04618,backpack
04619,backpack
04620,backpack
04624,backpack
65123,backpack
04616,backpack
04617,backpack
57044,teacher
57045,teacher
66593,teacher
57039,teacher
57040,teacher
57041,teacher
57042,teacher
